LIBRARY	SAMPLE_ID
BMAG021 F020142COL
BMAG021 F020151COL
BMAG021 F020154COL
BMAG021 F020158COL
BMAG021 F020163COL
BMAG021 F020164COL
BMAG021 F083159FRH
BMAG021 F083160FRH
BMAG021 F098644FRH
BMAG021 F100042FRH
BMAG021 F100043FRH
BMAG021 F106579FRH
BMAG021 F107903FRH
BMAG021 F040063MRH
BMAG021 F040073MRH
BMAG021 F040084MRH
BMAG021 F020076MRH
BMAG021 F020088MRH
BMAG021 F020085MRH
BMAG021 F020097MRH
BMAG021 F010020MIL
BMAG021 F020024MIL
BMAG021 F080001MKH
BMAG021 F080002MKH
BMAG021 F080003MKH
BMAG021 F080101MKH
BMAG021 F080103MKH
BMAG021 F080107MKH
BMAG021 F080156MKH
BMAG021 F080157MKH
BMAG021 F080159MKH
BMAG021 F080161MKH
BMAG021 F050018MKH
BMAG021 F050072MKH
BMAG021 F030052NIM
BMAG021 F030075NIM
BMAG021 F040076NIM
BMAG021 F020025NIM
BMAG021 F020026NIM
BMAG021 F020044NIM
BMAG021 F020045NIM
BMAG021 F050023NIM
BMAG021 F020086STN
BMAG022 F071755FRH
BMAG022 F098642FRH
BMAG022 F100040FRH
BMAG022 F100554FRH
BMAG022 F1010578FRH
BMAG022 F101504FRH
BMAG022 F106580FRH
BMAG022 F040053MRH
BMAG022 F040054MRH
BMAG022 F040059MRH
BMAG022 F020074MRH
BMAG022 F020094MRH
BMAG022 F080019MER
BMAG022 F010225MER
BMAG022 F020049MER
BMAG022 F010011MIL
BMAG022 F010021MIL
BMAG022 F020015MIL
BMAG022 F020019MIL
BMAG022 F020031MIL
BMAG022 F020032MIL
BMAG022 F020061MIL
BMAG022 F040081MKH
BMAG022 F030015NIM
BMAG022 F030016NIM
BMAG022 F030053NIM
BMAG022 F030054NIM
BMAG022 F030076NIM
BMAG022 F040019NIM
BMAG022 F040053NIM
BMAG022 F040082NIM
BMAG022 F010300STN
BMAG022 F040056STN
BMAG022 F040073STN
BMAG022 F020085STN
BMAG022 F020087STN
BMAG022 F200082STN
BMAG022 F020004STN
BMAG022 F020073STN
BMAG022 F020074STN
BMAG022 F040010TOU
BMAG022 F040016TOU
BMAG022 F040024TOU
BMAG022 F040066TOU
BMAG022 F040082TOU
BMAG023 F020134BUT
BMAG023 F030103BUT
BMAG023 F030106BUT
BMAG023 F030131BUT
BMAG023 F040083BUT
BMAG023 F040117BUT
BMAG023 F040121BUT
BMAG023 F040008DER
BMAG023 F040010DER
BMAG023 F040046DER
BMAG023 F101505FRH
BMAG023 F040019MRH
BMAG023 F010155MER
BMAG023 F010157MER
BMAG023 F010226MER
BMAG023 F010240MER
BMAG023 F010017MIL
BMAG023 F020013MIL
BMAG023 F020034MIL
BMAG023 F040022MKH
BMAG023 F040035MKH
BMAG023 F040055MKH
BMAG023 F030080NIM
BMAG023 F040020NIM
BMAG023 F040027NIM
BMAG023 F040047NIM
BMAG023 F040054NIM
BMAG023 F010289STN
BMAG023 F010290STN
BMAG023 F020003STN
BMAG023 F020088STN
BMAG023 F040043STN
BMAG023 F040052STN
BMAG023 F040060STN
BMAG023 F040086STN
BMAG023 F040012TOU
BMAG023 F040020TOU
BMAG023 F040025TOU
BMAG023 F040027TOU
BMAG023 F040030TOU
BMAG023 F040033TOU
BMAG023 F040036TOU
BMAG023 F040069TOU
BMAG023 F040076TOU
BMAG023 F040077TOU
BMAG023 F040079TOU
BMAG023 F040095TOU
BMAG024 F020109BUT
BMAG024 F030127BUT
BMAG024 F040079BUT
BMAG024 F040087BUT
BMAG024 F040091BUT
BMAG024 F040097BUT
BMAG024 F040112BUT
BMAG024 F040115BUT
BMAG024 F020003DER
BMAG024 F020013DER
BMAG024 F040011DER
BMAG024 F071740FRH
BMAG024 F083155FRH
BMAG024 F083156FRH
BMAG024 F100041FRH
BMAG024 F1011747FRH
BMAG024 F010122MER
BMAG024 F010227MER
BMAG024 F010233MER
BMAG024 F010242MER
BMAG024 F010244MER
BMAG024 F010245MER
BMAG024 F010246MER
BMAG024 F040030MER
BMAG024 F010010MIL
BMAG024 F010012MIL
BMAG024 F010014MIL
BMAG024 F010022MIL
BMAG024 F020037MIL
BMAG024 F020064MIL
BMAG024 F040018MKH
BMAG024 F040058MKH
BMAG024 F040059MKH
BMAG024 F040060MKH
BMAG024 F040080MKH
BMAG024 F010019STN
BMAG024 F010219STN
BMAG024 F020006STN
BMAG024 F020024STN
BMAG024 F020093STN
BMAG024 F040046STN
BMAG024 F040058STN
BMAG024 F040035TOU
BMAG024 F040083TOU
BMAG024 F040086TOU
BMAG024 F040094TOU
BMAG024 F080013TOU
BMAG025 F020122BUT
BMAG025 F020123BUT
BMAG025 F020127BUT
BMAG025 F020135BUT
BMAG025 F030124BUT
BMAG025 F030129BUT
BMAG025 F040109BUT
BMAG025 F020004DER
BMAG025 F020005DER
BMAG025 F020009DER
BMAG025 F020018DER
BMAG025 F020025DER
BMAG025 F020027DER
BMAG025 F020029DER
BMAG025 F020031DER
BMAG025 F040005DER
BMAG025 F040022DER
BMAG025 F040027DER
BMAG025 F040047DER
BMAG025 F040050DER
BMAG025 F040065DER
BMAG025 F106578FRH
BMAG025 F010053MER
BMAG025 F010115MER
BMAG025 F010116MER
BMAG025 F010121MER
BMAG025 F010154MER
BMAG025 F010158MER
BMAG025 F010197MER
BMAG025 F010231MER
BMAG025 F040023MER
BMAG025 F010002MIL
BMAG025 F010023MIL
BMAG025 F020069MIL
BMAG025 F040044MIL
BMAG025 F040050MIL
BMAG025 F040093MIL
BMAG025 F040095MIL
BMAG025 F010202STN
BMAG025 F020094STN
BMAG025 F040040STN
BMAG025 F040041STN
BMAG025 F040080STN
BMAG025 F040089TOU
BMAG001 F050084MKH
BMAG001 L050146USR
BMAG001 S050014MIL
BMAG001 W012017USR
BMAG001 F050090MKH
BMAG001 L030085USR
BMAG001 S050016MIL
BMAG001 W012030USR
BMAG001 F020091USR
BMAG001 L030007BTC
BMAG001 S050047DER
BMAG001 W012031USR
BMAG001 F020093USR
BMAG001 L030015BTC
BMAG001 S050007DER
BMAG001 W020618USR
BMAG001 F020177BTC
BMAG001 L000001BUT
BMAG001 S080058BUT
BMAG001 W020792USR
BMAG001 F020137BTC
BMAG001 L000002BUT
BMAG001 S080051BUT
BMAG001 FEM75 
BMAG001 F102938FRH
BMAG001 L001839COL
BMAG001 S101618FRH
BMAG001 FEM84 
BMAG001 F104955FRH
BMAG001 L001919COL
BMAG001 S101620FRH
BMAG001 FEM105
BMAG008 F030013DER
BMAG008 F030014DER
BMAG008 F030040MIL
BMAG008 F030045MIL
BMAG008 F030051MIL
BMAG008 F030059MIL
BMAG008 F030071MIL
BMAG008 F030081MIL
BMAG008 L030071USR
BMAG008 L030077USR
BMAG008 L030081USR
BMAG008 L040127USR
BMAG008 S080036BUT
BMAG008 S080073BUT
BMAG008 S050010DER
BMAG008 S050016DER
BMAG008 S090268FRH
BMAG008 S090269FRH
BMAG008 S090270FRH
BMAG008 S090271FRH
BMAG008 S090755FRH
BMAG008 S090758FRH
BMAG008 S090760FRH
BMAG008 S090761FRH
BMAG008 S090762FRH
BMAG008 S090763FRH
BMAG008 S090813FRH
BMAG008 S020001MIL
BMAG008 S020014MIL
BMAG008 S020057MIL
BMAG008 S040110MIL
BMAG008 S040113MIL
BMAG008 S040114MIL
BMAG008 S040116MIL
BMAG008 S040117MIL
BMAG010 F020128BUT
BMAG010 F030113BUT
BMAG010 F030114BUT
BMAG010 F030118BUT
BMAG010 F040009DER
BMAG010 F040028DER
BMAG010 F080010TOU
BMAG010 L030062USR
BMAG010 L030066USR
BMAG010 L030072USR
BMAG010 L030057USR
BMAG010 L040123USR
BMAG010 L040124USR
BMAG010 L040133USR
BMAG010 S020005DER
BMAG010 S020024DER
BMAG010 S020032DER
BMAG010 S020037DER
BMAG010 S020050DER
BMAG010 S050009DER
BMAG010 S050040DER
BMAG010 S050050DER
BMAG010 S080030BUT
BMAG010 S080031BUT
BMAG010 S080035BUT
BMAG010 S080079BUT
BMAG010 S080081BUT
BMAG010 S080086BUT
BMAG010 S080106BUT
BMAG010 S080108BUT
BMAG010 S080111BUT
BMAG010 S090150BUT
BMAG010 S090155BUT
BMAG010 S090196BUT
BMAG010 W011975USR
BMAG013 F040066BUT
BMAG013 F040076BUT
BMAG013 F020006DER
BMAG013 F020024DER
BMAG013 S020002DER
BMAG013 S020017DER
BMAG013 S020027DER
BMAG013 S020048DER
BMAG013 S050047DER
BMAG013 S050049DER
BMAG013 W011804USR
BMAG013 W011812USR
BMAG013 W011815USR
BMAG013 W011821USR
BMAG013 W011823USR
BMAG013 W011829USR
BMAG013 W011957USR
BMAG013 W011958USR
BMAG013 W011959USR
BMAG013 W011968USR
BMAG013 W011969USR
BMAG013 W011978USR
BMAG013 W011990USR
BMAG013 W011991USR
BMAG013 W011994USR
BMAG013 W011997USR
BMAG013 W012003USR
BMAG013 L050151USR
BMAG013 S020014MIL
BMAG013 S020027MIL
BMAG013 S020028MIL
BMAG013 S020034MIL
BMAG013 S020036MIL
BMAG013 S020041MIL
BMAG013 S040110MIL
